iter	RMSE
0	102189.645
1	95418.70348
2	89396.16991
3	83950.86983
4	79092.50852
5	74838.07489
6	71158.39171
7	67984.40228
8	65171.77997
9	62911.02732
10	60883.18768
11	59071.64238
12	57358.32161
13	56014.65731
14	54849.31553
15	53802.54545
16	52831.95977
17	52118.01572
18	51413.55235
19	50900.16473
20	50549.31912
21	50168.72561
22	49814.26502
23	49422.30568
24	49113.00439
25	48797.71337
26	48566.15913
27	48396.10149
28	48188.0522
29	48012.30036
30	47874.02514
31	47756.07201
32	47632.57312
33	47529.70298
34	47465.75136
35	47398.97379
36	47330.87057
37	47255.32062
38	47185.95222
39	47122.70932
40	47080.97682
41	47048.92505
42	47011.45367
43	46966.47078
44	46899.61604
45	46877.15866
46	46825.10382
47	46767.22968
48	46729.96862
49	46720.34523
50	46677.11289
51	46658.76768
52	46596.38547
53	46562.86784
54	46520.8865
55	46504.56684
56	46503.21373
57	46473.70051
58	46446.84311
59	46431.20337
60	46399.99348
61	46380.65284
62	46348.9054
63	46310.09445
64	46279.5349
65	46242.95447
66	46206.63147
67	46184.52428
68	46159.83188
69	46139.62626
70	46128.40543
71	46119.19657
72	46102.56667
73	46095.26266
74	46071.44911
75	46055.92847
76	46022.4049
77	46021.74023
78	45996.35038
79	45981.93771
80	45940.26859
81	45931.47618
82	45929.163
83	45891.86214
84	45878.2879
85	45877.36295
86	45857.38337
87	45838.89472
88	45805.96783
89	45792.54003
90	45769.56878
91	45749.13343
92	45733.46756
93	45724.29842
94	45690.90142
95	45678.14132
96	45663.74585
97	45646.90051
98	45618.46906
99	45611.65707
100	45592.04107
101	45571.43134
102	45547.84044
103	45514.67175
104	45488.91143
105	45472.99615
106	45450.10732
107	45427.83651
108	45398.3925
109	45383.08075
110	45364.09375
111	45341.65302
112	45326.79192
113	45320.24286
114	45303.05937
115	45277.71856
116	45244.96076
117	45224.269
118	45202.46978
119	45183.03532
120	45155.7268
121	45139.83188
122	45125.33886
123	45105.6167
124	45087.47326
125	45071.79033
126	45056.11555
127	45037.56055
128	45025.83872
129	45007.29426
130	44993.23478
131	44971.90023
132	44961.1457
133	44942.76142
134	44929.31003
135	44922.78448
136	44910.73095
137	44891.73047
138	44874.78986
139	44863.81389
140	44850.27524
141	44835.7313
142	44819.17436
143	44809.98474
144	44787.38961
145	44777.10539
146	44758.6234
147	44744.06934
148	44735.35562
149	44727.28923
150	44717.10508
151	44701.27949
152	44681.33445
153	44668.15255
154	44657.08225
155	44647.64505
156	44638.47977
157	44629.24479
158	44608.82693
159	44601.23873
160	44589.84683
161	44577.41131
162	44562.17595
163	44547.70529
164	44532.47185
165	44522.28596
166	44505.10954
167	44491.88554
168	44483.20422
169	44477.47638
170	44470.44354
171	44459.36701
172	44456.4849
173	44443.09992
174	44428.20664
175	44415.71366
176	44396.56411
177	44387.51733
178	44368.71638
179	44360.97435
180	44343.19852
181	44335.43336
182	44326.83287
183	44314.59
184	44305.54634
185	44297.95989
186	44284.36286
187	44278.59228
188	44270.28442
189	44264.42701
190	44257.83712
191	44248.18181
192	44239.94079
193	44235.22964
194	44224.69212
195	44213.357
196	44198.07893
197	44185.28849
198	44180.40734
199	44162.22169
200	44152.92949
201	44143.65815
202	44128.59012
203	44124.0987
204	44118.71661
205	44116.44492
206	44103.42379
207	44101.03711
208	44089.65191
209	44081.6781
210	44074.98831
211	44063.73392
212	44055.6668
213	44048.20294
214	44040.26089
215	44026.84024
216	44018.12942
217	44009.99988
218	44000.59309
219	43984.36601
220	43971.95663
221	43967.58753
222	43961.66951
223	43955.66947
224	43948.90214
225	43937.31666
226	43934.02967
227	43928.9555
228	43922.81164
229	43915.15238
230	43906.14699
231	43892.20864
232	43888.08979
233	43884.1902
234	43875.32373
235	43870.30229
236	43863.99346
237	43859.41179
238	43855.7548
239	43844.38513
240	43835.77789
241	43828.96019
242	43815.91414
243	43806.55526
244	43801.07329
245	43794.85186
246	43786.43365
247	43781.68921
248	43775.41937
249	43772.12555
250	43766.48914
251	43760.76622
252	43755.88841
253	43751.71795
254	43736.05747
255	43720.50392
256	43716.08426
257	43712.84794
258	43701.72165
259	43699.44565
260	43687.47036
261	43684.88744
262	43677.48925
263	43671.18531
264	43658.25335
265	43646.27318
266	43641.24369
267	43639.07717
268	43633.30562
269	43625.45881
270	43610.91663
271	43600.96873
272	43598.69408
273	43592.73143
274	43588.04591
275	43577.69873
276	43573.69985
277	43564.6662
278	43558.97933
279	43554.18107
280	43547.17426
281	43540.07455
282	43528.86144
283	43523.23917
284	43516.87911
285	43513.18427
286	43508.73576
287	43503.03097
288	43498.37631
289	43494.12239
290	43489.64646
291	43485.54693
292	43474.90992
293	43471.09364
294	43467.38259
295	43464.11498
296	43453.10522
297	43448.01611
298	43442.71579
299	43427.5716
300	43420.45965
301	43412.379
302	43407.60179
303	43401.88786
304	43397.37706
305	43393.44884
306	43386.81627
307	43377.06027
308	43373.42537
309	43361.34821
310	43356.60727
311	43350.11152
312	43338.57796
313	43332.80976
314	43326.36978
315	43319.75678
316	43312.5686
317	43304.37173
318	43300.14442
319	43295.35235
320	43288.391
321	43282.04886
322	43274.90776
323	43269.31586
324	43266.31153
325	43262.16843
326	43257.03332
327	43250.31338
328	43241.61841
329	43235.7844
330	43231.2201
331	43227.32087
332	43221.48911
333	43217.12408
334	43203.9748
335	43199.21229
336	43188.4011
337	43181.7793
338	43167.74356
339	43162.29416
340	43157.08936
341	43149.50439
342	43142.59395
343	43137.84568
344	43128.41272
345	43122.93769
346	43118.93296
347	43115.96045
348	43111.09557
349	43101.87093
350	43098.13073
351	43095.05496
352	43082.06673
353	43078.30936
354	43073.44866
355	43068.82228
356	43065.4896
