iter	Passed	Remaining
0	9	4926
1	11	2932
2	20	3470
3	29	3712
4	39	3873
5	48	3982
6	57	4071
7	67	4160
8	76	4195
9	82	4055
10	92	4110
11	101	4133
12	111	4171
13	120	4193
14	130	4205
15	139	4218
16	149	4235
17	158	4244
18	167	4247
19	177	4256
20	179	4097
21	188	4105
22	198	4116
23	207	4119
24	216	4120
25	226	4134
26	236	4135
27	247	4164
28	258	4198
29	267	4196
30	277	4203
31	287	4200
32	296	4199
33	306	4196
34	315	4193
35	325	4190
36	334	4188
37	344	4184
38	353	4181
39	363	4178
40	373	4186
41	383	4185
42	393	4183
43	403	4178
44	412	4170
45	421	4164
46	431	4155
47	440	4151
48	450	4145
49	454	4090
50	466	4103
51	498	4297
52	508	4288
53	517	4277
54	527	4266
55	536	4254
56	537	4180
57	547	4170
58	556	4159
59	565	4148
60	575	4139
61	584	4132
62	594	4122
63	603	4113
64	621	4162
65	631	4150
66	640	4139
67	650	4131
68	660	4127
69	671	4124
70	680	4114
71	683	4065
72	693	4054
73	696	4012
74	706	4001
75	715	3991
76	724	3982
77	726	3929
78	735	3920
79	744	3909
80	754	3901
81	757	3859
82	759	3816
83	769	3809
84	778	3802
85	780	3756
86	789	3749
87	799	3741
88	808	3734
89	818	3726
90	827	3718
91	836	3709
92	845	3701
93	849	3669
94	858	3661
95	869	3657
96	879	3655
97	889	3649
98	899	3642
99	908	3634
100	918	3626
101	927	3617
102	936	3611
103	946	3604
104	956	3598
105	967	3595
106	977	3589
107	987	3584
108	997	3578
109	1007	3570
110	1016	3562
111	1026	3555
112	1035	3546
113	1045	3539
114	1054	3530
115	1064	3523
116	1073	3514
117	1084	3509
118	1094	3505
119	1105	3502
120	1116	3495
121	1125	3487
122	1135	3479
123	1144	3470
124	1154	3462
125	1163	3453
126	1173	3447
127	1183	3438
128	1192	3429
129	1202	3421
130	1211	3412
131	1221	3404
132	1230	3396
133	1240	3387
134	1249	3378
135	1259	3369
136	1268	3361
137	1278	3352
138	1287	3344
139	1297	3336
140	1307	3329
141	1317	3321
142	1329	3319
143	1340	3314
144	1350	3307
145	1360	3298
146	1369	3289
147	1379	3281
148	1389	3272
149	1398	3263
150	1408	3254
151	1418	3246
152	1427	3238
153	1437	3230
154	1447	3221
155	1457	3213
156	1466	3204
157	1476	3196
158	1486	3187
159	1495	3178
160	1505	3169
161	1514	3160
162	1525	3153
163	1535	3145
164	1545	3137
165	1554	3128
166	1564	3119
167	1573	3110
168	1583	3101
169	1592	3091
170	1602	3082
171	1611	3073
172	1620	3063
173	1630	3054
174	1639	3044
175	1649	3035
176	1658	3026
177	1667	3017
178	1677	3008
179	1686	2998
180	1696	2989
181	1705	2979
182	1714	2970
183	1724	2961
184	1733	2951
185	1743	2943
186	1753	2935
187	1763	2926
188	1772	2916
189	1782	2908
190	1791	2898
191	1801	2889
192	1810	2879
193	1819	2870
194	1829	2861
195	1839	2852
196	1848	2843
197	1858	2834
198	1867	2824
199	1876	2815
200	1886	2805
201	1895	2796
202	1904	2786
203	1913	2777
204	1923	2768
205	1933	2759
206	1943	2750
207	1953	2741
208	1964	2735
209	1976	2728
210	1986	2720
211	1996	2711
212	2005	2702
213	2015	2693
214	2025	2684
215	2035	2675
