iter	Logloss
0	0.6437046195
1	0.6048670823
2	0.5737379412
3	0.5479574499
4	0.5279505623
5	0.5126187981
6	0.4994058048
7	0.4879458049
8	0.4805735389
9	0.47290277
10	0.4668927963
11	0.46239397
12	0.4590269943
13	0.4562996336
14	0.4533867662
15	0.4512816411
16	0.449329741
17	0.4479263055
18	0.4469625971
19	0.4459479227
20	0.4452128302
21	0.4442444237
22	0.4433600916
23	0.442850507
24	0.4421656324
25	0.441731099
26	0.441329936
27	0.440974511
28	0.4405305777
29	0.4401842352
30	0.4398022883
31	0.4396113694
32	0.4394162364
33	0.4391380748
34	0.4383106375
35	0.4380761671
36	0.4378910288
37	0.4377381349
38	0.4376104544
39	0.4374706586
40	0.4370578228
41	0.436892396
42	0.4367310643
43	0.4365769634
44	0.4364592438
45	0.4363076553
46	0.4361226343
47	0.4359865413
48	0.435827385
49	0.4355369996
50	0.4353964844
51	0.4352795227
52	0.4351422211
53	0.4348824862
54	0.4343041939
55	0.4340200234
56	0.4339414816
57	0.4338244947
58	0.4337036053
59	0.4335611141
60	0.4334146845
61	0.433213351
62	0.4329974519
63	0.4328654634
64	0.4327387011
65	0.4326664583
66	0.4325821667
67	0.4323583599
68	0.4322378551
69	0.4320750678
70	0.4319408795
71	0.4318530699
72	0.4317463692
73	0.4316238166
74	0.4315160845
75	0.431400734
76	0.4313227737
77	0.4311964521
78	0.431131712
79	0.4309632389
80	0.4308783355
81	0.4307911359
82	0.4306509241
83	0.4305650321
84	0.4304813631
85	0.4303736015
86	0.430284175
87	0.4302091342
88	0.4300608687
89	0.4300005237
90	0.4298259864
91	0.4297138189
92	0.4296323453
93	0.4295277588
94	0.4294483516
95	0.4292467281
96	0.429144415
97	0.4290258135
98	0.4289010039
99	0.4287942562
100	0.4286996992
101	0.4285653773
102	0.4283715938
103	0.4282711864
104	0.4281630421
105	0.4280761386
106	0.427920163
107	0.4278308884
108	0.4277437392
109	0.4276245514
110	0.4274762946
111	0.4273166616
112	0.4272051229
113	0.4270897057
114	0.426956701
115	0.4268636793
116	0.4268083828
117	0.4266620199
118	0.4265841122
119	0.4264225708
120	0.4262784186
121	0.4261926042
122	0.4261048159
123	0.4259748937
124	0.4258369703
125	0.4257284516
126	0.4256381215
127	0.42554442
128	0.4254280092
129	0.4253092825
130	0.4251747473
131	0.4250844727
132	0.4249901732
133	0.4249052845
134	0.4247539067
135	0.4246556504
136	0.4245100502
137	0.4243629082
138	0.4242720524
139	0.4241878698
140	0.4240385533
141	0.4238840532
142	0.4237642595
143	0.4236688621
144	0.4235356628
145	0.4234076061
146	0.4232980313
147	0.4231992732
148	0.423103073
149	0.4230050189
150	0.4228766273
151	0.4227990907
152	0.4227053041
153	0.4226223145
154	0.4225243555
155	0.4224259153
156	0.4222871321
