iter	Passed	Remaining
0	7	7237
1	12	6280
2	17	5914
3	22	5713
4	28	5654
5	33	5556
6	39	5655
7	46	5704
8	52	5808
9	59	5875
10	65	5849
11	72	5929
12	78	5940
13	83	5867
14	89	5863
15	94	5826
16	100	5805
17	105	5777
18	111	5749
19	116	5706
20	121	5653
21	126	5634
22	131	5599
23	137	5583
24	141	5534
25	146	5486
26	151	5471
27	156	5441
28	161	5421
29	167	5408
30	172	5384
31	177	5373
32	182	5359
33	188	5355
34	194	5353
35	199	5343
36	205	5340
37	211	5346
38	217	5358
39	223	5369
40	229	5377
41	236	5405
42	242	5398
43	248	5388
44	253	5382
45	258	5367
46	264	5357
47	268	5331
48	274	5322
49	279	5313
50	285	5307
51	290	5297
52	296	5295
53	301	5281
54	306	5273
55	312	5266
56	317	5259
57	323	5249
58	328	5236
59	333	5230
60	339	5221
61	344	5213
62	350	5208
63	355	5202
64	361	5194
65	366	5186
66	371	5178
67	377	5170
68	382	5157
69	387	5148
70	393	5144
71	398	5140
72	404	5139
73	410	5140
74	417	5148
75	423	5149
76	429	5151
77	435	5150
78	443	5166
79	449	5166
80	454	5160
81	460	5150
82	465	5144
83	471	5137
84	476	5129
85	482	5123
86	487	5115
87	492	5107
88	498	5101
89	504	5096
90	509	5090
91	514	5081
92	520	5072
93	525	5065
94	530	5051
95	535	5039
96	540	5032
97	546	5025
98	551	5017
99	556	5009
100	562	5002
101	567	4998
102	573	4990
103	578	4982
104	583	4975
105	589	4972
106	595	4965
107	600	4958
108	605	4949
109	610	4943
110	616	4936
111	622	4934
112	628	4933
113	634	4929
114	639	4922
115	644	4910
116	649	4902
117	654	4891
118	659	4884
119	665	4878
120	670	4872
121	675	4864
122	681	4855
123	686	4848
124	691	4841
125	696	4834
126	701	4825
127	707	4818
128	712	4810
129	717	4802
130	722	4793
131	728	4788
132	733	4781
133	738	4772
134	743	4766
135	749	4759
136	755	4759
137	761	4753
138	766	4745
139	771	4738
140	776	4731
141	781	4723
142	787	4717
143	792	4710
144	797	4703
145	802	4696
146	808	4689
147	813	4683
148	818	4676
149	824	4669
150	828	4659
151	834	4653
152	840	4653
153	846	4650
154	852	4645
155	857	4640
156	863	4635
157	868	4629
158	874	4625
159	880	4620
160	885	4614
161	890	4607
162	896	4601
163	901	4595
164	906	4588
165	912	4583
166	917	4576
167	923	4571
168	928	4564
169	933	4559
170	939	4554
171	944	4548
172	950	4541
173	955	4535
174	960	4529
175	966	4523
176	971	4516
177	976	4510
178	982	4504
179	987	4498
180	992	4492
181	998	4487
182	1004	4482
183	1009	4476
184	1015	4472
185	1021	4469
186	1026	4464
187	1032	4460
188	1038	4456
189	1044	4453
190	1049	4447
191	1055	4442
192	1061	4438
193	1066	4432
194	1072	4427
195	1077	4421
196	1083	4414
197	1088	4409
198	1093	4403
199	1099	4397
200	1104	4391
201	1109	4385
202	1115	4378
203	1120	4372
204	1126	4367
205	1131	4361
206	1137	4355
207	1142	4349
208	1147	4343
209	1153	4337
210	1158	4332
211	1163	4326
212	1169	4319
213	1174	4313
214	1180	4310
215	1186	4305
216	1191	4300
217	1197	4293
218	1202	4288
219	1207	4282
220	1213	4277
221	1218	4271
222	1224	4265
223	1229	4260
224	1235	4254
225	1240	4248
226	1247	4246
227	1253	4244
228	1259	4240
229	1264	4234
230	1270	4229
231	1276	4224
232	1281	4218
233	1287	4213
234	1292	4207
235	1298	4202
236	1303	4196
237	1308	4190
238	1314	4185
239	1320	4180
240	1325	4175
241	1331	4169
242	1336	4163
243	1341	4157
244	1347	4151
245	1352	4145
246	1357	4138
247	1362	4132
248	1368	4127
249	1374	4122
250	1379	4117
251	1386	4114
252	1391	4109
253	1397	4103
254	1402	4098
255	1408	4093
256	1414	4088
257	1419	4083
258	1425	4078
259	1431	4073
260	1437	4068
261	1442	4064
262	1448	4059
263	1454	4055
264	1460	4050
265	1466	4046
266	1472	4042
267	1478	4037
268	1483	4032
269	1489	4026
270	1494	4020
271	1500	4014
272	1505	4008
273	1510	4002
274	1516	3998
275	1521	3991
276	1527	3986
277	1532	3980
278	1537	3974
279	1543	3968
280	1548	3962
281	1553	3956
