iter	MultiClass
0	0.9459813377
1	0.8728231917
2	0.8394377429
3	0.8175411856
4	0.8036619098
5	0.7870963252
6	0.7645510082
7	0.7429263704
8	0.7285567228
9	0.7131258382
10	0.6973069721
11	0.6877285877
12	0.6806030157
13	0.669671428
14	0.6604739177
15	0.654311576
16	0.6468895425
17	0.6420099066
18	0.6370825279
19	0.6298784148
20	0.6219189294
21	0.6167768386
22	0.6082088561
23	0.6023589634
24	0.5973054259
25	0.5899586626
26	0.5834094605
27	0.5793973048
28	0.5744654209
29	0.5700884744
30	0.5655242305
31	0.5618737076
32	0.5572717363
33	0.5526424843
34	0.5503792528
35	0.5494954754
36	0.5452606051
37	0.5412442548
38	0.5388849211
39	0.5366200113
40	0.5328344599
41	0.5310061599
42	0.5279302179
43	0.5256885352
44	0.5229701135
45	0.5192508445
46	0.5166827416
47	0.5142785694
48	0.511106878
49	0.5090354861
50	0.5064542299
51	0.5033537905
52	0.5006629905
53	0.4987900865
54	0.4966664969
55	0.4930309303
56	0.4912557683
57	0.4900232245
58	0.4877182185
59	0.483751089
60	0.4809261339
61	0.4787098428
62	0.4742414803
63	0.4723920801
64	0.4702742726
65	0.4686169102
66	0.4665872934
67	0.4642422658
68	0.4617836565
69	0.459979779
70	0.4593958144
71	0.4570055131
72	0.4555701717
73	0.4539187717
74	0.4531180187
75	0.451291739
76	0.4502797461
77	0.4489059316
78	0.4477704685
79	0.4458376138
80	0.4439908137
81	0.442570529
82	0.4400190989
83	0.4384741835
84	0.4365245745
85	0.4351698332
86	0.4337049761
87	0.432446902
88	0.4310794833
89	0.4292679229
90	0.4265534579
91	0.4244751315
92	0.4235499644
93	0.4209689545
94	0.4190671872
95	0.4177737245
96	0.4168541356
97	0.4159427433
98	0.4146290104
99	0.4140048876
100	0.4120741987
101	0.4112607077
102	0.4106750305
103	0.4098270732
104	0.4088421051
105	0.4075413546
106	0.405498014
107	0.4035511037
108	0.4025509751
109	0.4008549384
110	0.3984984823
111	0.3971719483
112	0.3960195266
113	0.3944242647
114	0.3933692029
115	0.3916905839
116	0.3908520665
117	0.3895788584
118	0.3887863847
119	0.3873931842
120	0.3855292509
121	0.3842301594
122	0.3829742472
123	0.3816918658
124	0.3801622152
125	0.3785745836
126	0.3773227973
127	0.375667031
128	0.3744134405
129	0.3733875467
130	0.3720425946
131	0.3712496961
132	0.3701159355
133	0.3691080707
134	0.3681587274
135	0.3666191927
136	0.364646961
137	0.3633097824
138	0.3616570914
139	0.3599339828
140	0.3572792506
141	0.3564417615
142	0.3551701138
143	0.3536043642
144	0.3529883807
145	0.3518355278
146	0.350408726
147	0.3489938384
148	0.3480222522
149	0.3473467811
150	0.3459610028
151	0.3454586602
152	0.3439320858
153	0.3426041245
154	0.341877987
155	0.3405216432
156	0.339561182
157	0.3392132879
158	0.3381175589
159	0.3372759516
160	0.3368055855
161	0.3362763668
162	0.3352709847
163	0.3347447123
164	0.3340384488
165	0.3326561804
166	0.3316522826
167	0.330628822
168	0.3301077491
169	0.3294839692
170	0.3285595987
171	0.3272319487
172	0.3267059161
173	0.3255830735
174	0.3250129607
175	0.3239377969
176	0.3234406395
177	0.3221622152
178	0.3208366796
179	0.320117936
180	0.31917227
181	0.318245518
182	0.3174187093
183	0.3166285918
184	0.3158668636
185	0.3152584747
186	0.3149265486
187	0.3144327598
188	0.3134625125
189	0.3126649958
190	0.3118008558
191	0.3113137664
192	0.3101562935
193	0.3090072562
194	0.3080997947
195	0.3077701031
196	0.3069647865
197	0.3061609747
198	0.3053431418
199	0.3048469014
200	0.3042852706
201	0.3037459123
202	0.3030908611
203	0.3023254232
204	0.3018430846
205	0.3009215506
206	0.300137571
207	0.2989571493
208	0.2981247049
209	0.2971068071
210	0.2967955423
211	0.2962918619
212	0.2958102972
213	0.2953203241
214	0.2945491892
215	0.2937782836
216	0.2932108583
217	0.2926266992
218	0.2922795027
219	0.2917919555
220	0.2912487102
221	0.2909149798
222	0.2899951278
223	0.2894918284
224	0.2887810434
225	0.2879213838
226	0.2873533274
227	0.2869171025
228	0.2863071178
229	0.2857937395
230	0.2852865424
231	0.2846561857
232	0.2840635143
233	0.283452068
234	0.2825910645
235	0.282329436
236	0.281874553
237	0.2812746125
238	0.2807750234
239	0.2803228503
240	0.2800150007
241	0.2793134809
242	0.2784264251
243	0.2780297127
244	0.2775013639
245	0.277318172
246	0.2770492551
247	0.276275369
248	0.2755494737
249	0.2749329344
250	0.2744389516
251	0.2739675242
252	0.2735770018
253	0.2733155895
254	0.2725305425
255	0.2722907766
256	0.2718950725
257	0.2712691064
258	0.2708963039
259	0.2698218725
260	0.2685659046
261	0.2681708559
262	0.2676567485
263	0.2668465482
264	0.2664496001
265	0.2662181044
266	0.2655759793
267	0.2648989731
268	0.2644846562
269	0.2641213769
270	0.2631633517
271	0.262771671
272	0.2624038421
273	0.2613360517
274	0.2610106403
275	0.260562555
276	0.2602200289
277	0.2599366391
278	0.2594483453
279	0.2591881969
280	0.2585756817
281	0.257907843
282	0.2575455282
283	0.25717371
284	0.2566674549
285	0.2562843494
286	0.255905468
287	0.2554013493
288	0.2551696377
289	0.2548690608
290	0.2542669214
291	0.2539478069
292	0.2535190707
293	0.2527272812
294	0.2524176381
295	0.2521812257
296	0.2514974856
297	0.2510239685
298	0.2502034746
299	0.249783689
300	0.2491738911
301	0.2486374275
302	0.2483719087
303	0.2475867561
304	0.2470158992
305	0.2464297883
306	0.2460639564
307	0.2456363917
308	0.2451228174
309	0.2447387345
310	0.2444641681
311	0.2436012546
312	0.2431542439
313	0.2427905265
314	0.2423947027
315	0.2421165135
316	0.2415044258
317	0.2410686681
318	0.240261025
319	0.2397422485
320	0.2393047217
321	0.2390266392
322	0.238502041
323	0.2383085128
324	0.2379444181
325	0.2375613011
326	0.2371471496
327	0.2368972634
328	0.2364872902
329	0.2361749361
330	0.235779735
331	0.2348525471
332	0.2344373226
333	0.2339436242
334	0.2336133629
335	0.2332363453
336	0.2328589707
337	0.2324597482
338	0.2321103973
339	0.2319236092
340	0.2314506273
341	0.2311374114
342	0.2307047701
343	0.2304763805
344	0.2300493523
345	0.2295453771
346	0.2291122286
347	0.2286941836
348	0.2283351062
349	0.2276900406
350	0.2274401768
351	0.2266314725
352	0.2264119942
353	0.2261833017
354	0.2258071089
355	0.2253588562
356	0.2251382776
357	0.2248449308
358	0.2242010957
359	0.223937964
360	0.2233954589
361	0.2230253738
362	0.2226468691
363	0.2224498594
364	0.2221274821
365	0.2216806938
366	0.2212239085
367	0.2208048671
368	0.2204885643
369	0.2201087957
370	0.2198577008
371	0.2193229294
372	0.2190090839
373	0.2186208554
374	0.2182321402
375	0.2178527519
376	0.2174468951
377	0.2171622958
378	0.2166544524
379	0.2162301418
380	0.2160076434
381	0.215677124
382	0.2155519645
383	0.2152354192
384	0.2148953804
385	0.214617504
386	0.2142589538
387	0.2140393657
388	0.2133660118
389	0.2130600818
390	0.2126925189
391	0.2124823752
392	0.2121551627
393	0.2119324632
394	0.2116179892
395	0.2113702624
396	0.2109260166
397	0.2107293415
398	0.2104318509
399	0.2101293464
400	0.2096931136
401	0.2095228452
402	0.2093406683
403	0.2091377986
404	0.2089518473
405	0.2086767095
406	0.2081216292
407	0.2076522026
408	0.2072165277
409	0.2069117286
410	0.2067383983
411	0.2065780708
412	0.2063459836
413	0.2059888623
414	0.2057040545
415	0.2053435385
416	0.2049704874
417	0.2046974453
418	0.2043099424
419	0.2040666119
420	0.2037264936
421	0.2033550619
422	0.2030075428
423	0.2027500076
424	0.2024625219
425	0.2021854013
426	0.2017403048
427	0.2013421077
428	0.200977506
429	0.2008418749
430	0.2005960929
431	0.2001530391
432	0.1999018156
433	0.1995270376
434	0.1993093064
435	0.1991171488
436	0.1988400268
437	0.1985542049
438	0.1983706641
439	0.1977886589
440	0.197601379
441	0.1973602887
442	0.1970085812
443	0.1966710945
444	0.196474094
445	0.1960770987
446	0.1959603431
447	0.1954242143
448	0.195141477
449	0.1949122618
450	0.1943844504
451	0.194184809
452	0.1936683476
453	0.1933273645
454	0.1930487022
455	0.1926919419
456	0.1923945675
457	0.1920604325
458	0.1919608026
459	0.1915801223
460	0.1912780794
461	0.1910515048
462	0.1908575241
463	0.1906226
464	0.1903488827
465	0.1901272557
466	0.1897620187
467	0.1895170747
468	0.1891312155
469	0.1888670058
470	0.1884691316
471	0.1881879013
472	0.1879016043
473	0.1874830169
474	0.1872419465
475	0.1869553525
476	0.1868221906
477	0.1865307463
478	0.1862868008
479	0.1860009711
480	0.1857091655
481	0.1853462008
482	0.1849476931
483	0.1848274746
484	0.184564788
485	0.1843493656
486	0.1840174349
487	0.1836899834
488	0.183260005
489	0.1830828059
490	0.1828045903
491	0.182503364
492	0.1823210282
493	0.1820375256
494	0.181770556
495	0.1815032276
496	0.1811484151
497	0.1808546598
498	0.1805862664
499	0.1803127406
500	0.1801057061
501	0.1798796312
502	0.1795244371
503	0.1792647561
504	0.1789757093
505	0.1788064938
506	0.1785333546
507	0.1783800219
508	0.1781059541
509	0.1779396745
510	0.1777119467
511	0.1774582674
512	0.1771940038
513	0.177091619
514	0.1769270468
515	0.1767943364
516	0.1766151178
517	0.1763595973
518	0.1761228243
519	0.1758457846
520	0.1756029378
521	0.1754182013
522	0.1753071061
523	0.1750483306
524	0.1748015147
525	0.1745994679
526	0.174306206
527	0.1740206502
528	0.173778774
529	0.1735838246
530	0.17340635
531	0.1732800579
532	0.1731335589
533	0.1729422333
534	0.1728122359
535	0.1725630768
536	0.1724300236
537	0.1722660609
538	0.1719670593
539	0.1717445623
540	0.1715982657
541	0.1712663747
542	0.1710694594
543	0.1706918625
544	0.1704025424
545	0.170198454
546	0.1698927087
547	0.1697232933
548	0.1695128662
549	0.1693554324
