iter	Passed	Remaining
0	18	18611
1	51	25476
2	69	23007
3	87	21868
4	105	21092
5	124	20651
6	142	20226
7	160	19894
8	192	21244
9	211	20903
10	234	21048
11	252	20798
12	286	21784
13	305	21482
14	322	21203
15	340	20962
16	373	21606
17	391	21342
18	409	21137
19	427	20931
20	445	20783
21	464	20654
22	482	20505
23	503	20461
24	522	20381
25	539	20221
26	557	20073
27	574	19939
28	591	19820
29	608	19687
30	626	19583
31	643	19477
32	663	19439
33	682	19383
34	700	19323
35	719	19258
36	736	19181
37	754	19106
38	772	19042
39	790	18977
40	808	18915
41	826	18853
42	859	19137
43	881	19156
44	900	19116
45	919	19062
46	937	19018
47	956	18971
48	974	18917
49	993	18870
50	1041	19381
51	1060	19334
52	1078	19271
53	1096	19216
54	1115	19173
55	1134	19122
56	1152	19064
57	1170	19011
58	1188	18952
59	1206	18897
60	1238	19058
61	1255	19000
62	1273	18943
63	1292	18896
64	1309	18843
65	1330	18835
66	1349	18795
67	1368	18759
68	1387	18715
69	1405	18674
70	1423	18624
71	1442	18589
72	1460	18547
73	1478	18497
74	1496	18458
75	1517	18447
76	1536	18412
77	1553	18362
78	1570	18310
79	1587	18256
80	1605	18210
81	1637	18333
82	1654	18284
83	1672	18241
84	1690	18195
85	1708	18152
86	1725	18111
87	1744	18078
88	1763	18046
89	1782	18018
90	1800	17984
91	1818	17949
92	1837	17917
93	1855	17882
94	1873	17850
95	1891	17814
96	1909	17778
97	1927	17745
98	1945	17709
99	1964	17684
100	1983	17653
101	2001	17620
102	2033	17710
103	2068	17824
104	2087	17796
105	2105	17760
106	2124	17730
107	2151	17769
108	2171	17752
109	2193	17743
110	2212	17717
111	2231	17694
112	2254	17694
113	2274	17674
114	2293	17648
115	2312	17620
116	2331	17592
117	2349	17561
118	2368	17531
119	2387	17504
120	2406	17479
121	2424	17447
122	2443	17420
123	2463	17404
124	2486	17408
125	2508	17401
126	2527	17373
127	2545	17342
128	2580	17425
129	2600	17403
130	2617	17363
131	2636	17333
132	2654	17302
133	2672	17272
134	2690	17239
135	2709	17216
136	2728	17188
137	2748	17165
138	2766	17136
139	2785	17107
140	2804	17086
141	2825	17075
142	2844	17045
143	2862	17016
144	2886	17021
145	2904	16991
146	2924	16967
147	2942	16937
148	2960	16907
149	2979	16883
150	2999	16863
151	3020	16848
152	3043	16849
153	3062	16825
154	3081	16797
155	3100	16772
156	3118	16746
157	3137	16721
158	3156	16694
159	3175	16672
160	3196	16656
161	3217	16644
162	3239	16632
163	3259	16613
164	3279	16595
165	3298	16573
166	3319	16557
167	3340	16543
168	3361	16526
169	3380	16504
170	3399	16482
171	3419	16462
172	3440	16446
173	3459	16423
174	3482	16416
175	3502	16396
176	3519	16365
177	3538	16339
178	3556	16312
179	3575	16288
180	3593	16259
181	3618	16261
182	3640	16251
183	3659	16227
184	3677	16202
185	3696	16178
186	3728	16210
187	3750	16199
188	3770	16177
189	3789	16154
190	3819	16177
191	3838	16152
192	3880	16226
193	3909	16244
194	3936	16252
195	3955	16223
196	3973	16194
197	3991	16166
198	4009	16139
199	4027	16111
200	4055	16119
201	4074	16096
202	4092	16068
203	4111	16044
204	4130	16017
205	4148	15989
206	4166	15960
207	4184	15934
208	4218	15965
209	4237	15941
210	4256	15916
211	4275	15890
212	4293	15864
213	4311	15837
214	4330	15812
215	4349	15787
216	4367	15758
217	4386	15735
218	4404	15707
219	4422	15680
220	4450	15686
221	4471	15670
222	4492	15653
223	4510	15624
224	4528	15597
225	4547	15574
226	4566	15549
227	4584	15521
228	4601	15493
229	4619	15466
230	4650	15480
231	4669	15457
232	4688	15433
233	4722	15458
234	4741	15436
235	4761	15412
236	4779	15388
237	4813	15411
238	4832	15387
239	4851	15363
240	4870	15339
241	4890	15317
242	4909	15293
243	4928	15270
244	4948	15250
245	4967	15224
246	4986	15200
247	5005	15177
248	5024	15154
249	5043	15130
250	5061	15104
251	5080	15080
252	5099	15057
253	5119	15035
254	5138	15013
255	5157	14990
256	5177	14967
257	5197	14946
258	5216	14923
259	5235	14900
260	5256	14882
261	5274	14856
262	5293	14834
263	5313	14812
264	5344	14823
265	5364	14802
266	5383	14779
267	5402	14756
268	5422	14735
269	5441	14713
270	5461	14692
271	5483	14676
272	5511	14676
273	5530	14652
274	5548	14628
275	5567	14603
276	5585	14578
277	5603	14553
278	5620	14525
279	5639	14500
280	5657	14475
281	5675	14450
282	5693	14425
283	5711	14399
284	5729	14373
285	5747	14347
286	5765	14322
287	5783	14298
288	5802	14275
289	5820	14249
290	5838	14224
291	5857	14202
292	5875	14177
293	5892	14151
294	5911	14127
295	5929	14102
296	5947	14078
297	5965	14053
298	5984	14029
299	6003	14007
300	6022	13985
301	6040	13962
302	6060	13940
303	6079	13919
304	6098	13897
305	6117	13874
306	6137	13853
307	6156	13831
308	6175	13810
309	6194	13787
310	6213	13765
311	6232	13744
312	6252	13722
313	6271	13702
314	6291	13680
315	6310	13659
316	6328	13634
317	6345	13609
318	6363	13585
319	6381	13561
320	6400	13539
321	6421	13520
322	6441	13500
323	6464	13488
324	6484	13468
325	6503	13446
326	6535	13450
327	6554	13428
328	6572	13403
329	6605	13410
330	6655	13451
331	6673	13427
332	6692	13405
333	6712	13383
334	6731	13362
335	6750	13340
336	6770	13320
337	6790	13298
338	6808	13276
339	6842	13282
340	6861	13260
341	6880	13237
342	6899	13215
343	6918	13193
344	6938	13172
345	6957	13149
346	6976	13128
347	6994	13105
348	7013	13082
349	7033	13062
350	7053	13041
351	7072	13020
352	7092	13000
353	7111	12978
354	7132	12958
355	7151	12936
356	7169	12913
357	7187	12889
358	7207	12868
359	7233	12859
360	7252	12837
361	7271	12815
362	7290	12793
363	7308	12769
364	7326	12746
365	7344	12722
366	7390	12747
367	7413	12731
368	7433	12711
369	7454	12693
370	7474	12671
371	7491	12647
372	7509	12622
373	7526	12598
374	7545	12575
375	7562	12551
376	7580	12527
377	7599	12504
378	7617	12481
379	7636	12459
380	7655	12437
381	7674	12415
382	7694	12394
383	7712	12372
384	7742	12367
385	7760	12344
386	7779	12322
387	7799	12301
388	7822	12287
389	7841	12264
390	7860	12242
391	7879	12220
392	7898	12199
393	7917	12177
394	7936	12155
395	7955	12133
396	7975	12113
397	7993	12091
398	8011	12067
399	8029	12044
400	8047	12021
401	8066	11999
402	8084	11976
403	8102	11953
404	8121	11931
405	8139	11909
406	8157	11885
407	8175	11862
408	8193	11840
409	8212	11818
410	8231	11796
411	8250	11774
412	8268	11751
413	8287	11730
414	8320	11728
415	8340	11708
416	8358	11685
417	8395	11689
418	8422	11678
419	8443	11660
420	8463	11640
421	8481	11617
422	8499	11594
423	8518	11572
424	8536	11549
425	8554	11526
426	8572	11503
427	8590	11480
428	8608	11457
429	8626	11435
430	8645	11413
431	8664	11391
432	8683	11370
433	8702	11349
434	8721	11327
435	8740	11306
436	8758	11284
437	8777	11262
438	8796	11241
439	8816	11220
440	8835	11200
441	8855	11179
442	8874	11157
443	8893	11136
444	8912	11115
445	8931	11094
446	8949	11071
447	8967	11048
448	8985	11026
449	9002	11003
450	9020	10981
451	9038	10958
452	9057	10937
453	9089	10931
454	9108	10909
455	9126	10887
456	9144	10865
457	9164	10845
458	9184	10824
459	9203	10803
460	9221	10781
461	9239	10759
462	9257	10737
463	9276	10716
464	9295	10694
465	9313	10672
466	9331	10650
467	9350	10629
468	9368	10606
469	9386	10584
470	9404	10562
471	9422	10540
472	9445	10524
473	9464	10502
474	9481	10479
475	9499	10457
476	9518	10436
477	9535	10413
478	9553	10390
479	9585	10384
480	9603	10362
481	9623	10341
482	9641	10320
483	9660	10299
484	9680	10278
485	9699	10258
486	9718	10237
487	9737	10216
488	9755	10194
489	9774	10173
490	9792	10151
491	9811	10130
492	9830	10109
493	9848	10087
494	9867	10066
495	9892	10052
496	9912	10032
497	9931	10011
498	9949	9989
499	9979	9979
500	9997	9957
501	10015	9935
502	10033	9913
503	10051	9891
504	10069	9869
505	10087	9848
506	10105	9826
507	10123	9804
508	10143	9784
509	10161	9762
510	10180	9741
511	10200	9722
512	10219	9701
513	10237	9680
514	10263	9665
515	10281	9643
516	10310	9632
517	10327	9610
518	10346	9588
519	10365	9568
520	10389	9552
521	10409	9531
522	10431	9513
523	10450	9492
524	10467	9470
525	10484	9448
526	10502	9426
527	10520	9404
528	10537	9382
529	10555	9360
530	10572	9338
531	10590	9316
532	10614	9300
533	10633	9279
534	10652	9258
535	10671	9237
536	10690	9217
537	10720	9206
538	10739	9185
539	10758	9164
540	10777	9143
541	10796	9122
542	10814	9102
543	10833	9080
544	10853	9060
545	10871	9039
546	10889	9018
547	10908	8997
548	10928	8977
549	10947	8957
550	10966	8936
551	10985	8915
552	11005	8895
553	11024	8875
554	11042	8854
555	11061	8833
556	11079	8812
557	11097	8790
558	11116	8769
559	11134	8748
560	11153	8728
561	11172	8707
562	11190	8686
563	11209	8665
564	11228	8645
565	11247	8624
566	11267	8604
567	11285	8583
568	11304	8562
569	11323	8542
570	11341	8521
571	11360	8500
572	11392	8489
573	11410	8468
574	11430	8448
575	11452	8430
576	11470	8409
577	11489	8388
578	11522	8378
579	11540	8356
580	11558	8335
581	11576	8314
582	11595	8293
583	11613	8272
584	11631	8251
585	11651	8231
586	11670	8211
587	11688	8190
588	11706	8168
589	11724	8147
590	11743	8126
591	11761	8105
592	11779	8084
593	11812	8073
594	11830	8052
595	11848	8031
596	11866	8010
597	11885	7989
598	11903	7968
599	11922	7948
600	11940	7927
601	11958	7906
602	12022	7915
603	12040	7894
604	12059	7873
605	12077	7852
